Name,X_Coordinate,Y_Coordinate,Population,Distance
City_144,83.29,27.24,733459,414.04
City_145,86.5,29.55,240384,2.91
City_146,82.73,27.99,278352,288.67
City_147,82.1,27.88,103965,328.38
City_148,84.92,29.67,96965,480.43
City_149,84.59,28.71,587647,1.8
City_150,83.72,27.33,706566,50.41
City_151,81.06,26.6,807744,158.21
City_152,87.69,29.14,242273,226.0
City_153,80.57,26.03,16510,287.21
City_154,83.21,28.74,499804,406.62
City_155,83.69,26.84,124429,322.8
City_156,88.91,29.47,594315,466.23
City_157,81.75,29.94,196487,288.72
City_158,82.31,26.17,575488,166.64
City_159,82.43,27.08,816879,334.22
City_160,81.24,29.65,990009,331.1
City_161,87.0,28.29,555406,176.7
City_162,83.88,29.03,189931,486.15
City_163,85.4,28.69,616725,161.22
City_164,80.89,26.41,608396,226.43
City_165,82.61,27.51,866312,271.84
City_166,83.1,26.91,931423,174.45
City_167,84.0,29.81,11733,466.25
City_168,80.25,28.05,535916,126.63
City_169,87.34,26.39,749706,42.81
City_170,85.09,28.59,870499,137.57
City_171,83.88,28.26,67755,194.18
City_172,83.44,28.66,624208,215.24
City_173,86.88,27.14,459909,147.89
City_174,80.27,27.45,694744,93.48
City_175,82.45,29.56,482849,303.54
City_176,84.26,28.07,204914,94.99
City_177,86.12,29.86,425181,135.04
City_178,83.77,29.1,165863,333.97
City_179,80.78,29.65,901604,332.05
City_180,88.53,29.62,673616,395.59
City_181,82.52,26.73,384020,70.12
City_182,88.71,29.72,161671,317.09
City_183,88.33,28.98,292688,469.29
City_184,85.23,27.76,834712,477.71
City_185,85.31,29.99,388026,58.88
City_186,81.58,26.28,144769,154.51
City_187,86.22,29.54,80479,329.54
City_188,84.55,28.25,610934,57.12
City_189,82.39,29.13,788690,352.78
City_190,87.5,28.32,932348,318.0
City_191,82.57,28.11,222588,497.25
City_192,81.89,27.07,188105,60.71
City_193,86.52,27.56,831859,26.16
City_194,81.39,26.63,703452,227.41
City_195,84.76,26.48,347393,120.34
City_196,80.54,27.46,66162,220.57
City_197,80.96,27.39,701777,151.59
City_198,85.09,29.47,336502,71.62
City_199,81.87,26.62,324703,477.87
City_200,84.79,28.89,497143,343.23
City_201,85.63,26.44,987123,385.82
City_202,80.91,26.93,822141,319.43
City_203,84.96,28.55,989410,164.04
City_204,88.89,26.68,573228,413.62
City_205,82.6,26.09,554250,238.32
City_206,86.89,27.97,329610,483.22
City_207,88.37,27.94,575655,227.08
City_208,88.44,28.36,833733,224.54
City_209,87.11,29.15,144425,15.3
City_210,85.28,29.38,363246,240.74
City_211,85.57,27.17,335785,211.81
City_212,81.08,29.88,994148,346.73
City_213,87.89,27.78,971128,492.88
City_214,81.8,27.62,275961,206.16
City_215,84.65,26.52,187894,235.48
City_216,83.3,28.69,870420,314.23
City_217,87.56,26.51,739986,347.4
City_218,87.89,28.87,867427,181.56
City_219,86.36,26.88,428399,143.2
City_220,82.79,26.67,139310,377.58
City_221,81.36,27.4,751302,416.22
City_222,87.5,27.03,880205,80.41
City_223,85.81,28.2,450211,150.4
City_224,88.13,26.3,439404,208.84
City_225,87.44,28.02,229038,141.31
City_226,82.95,28.71,509315,346.92
City_227,84.65,29.5,355362,50.24
City_228,82.74,29.1,581321,146.17
City_229,88.78,28.47,33527,264.87
City_230,88.5,28.63,102215,159.9
City_231,82.37,29.42,353299,490.61
City_232,80.07,28.22,796806,115.84
City_233,85.76,29.52,344560,40.51
City_234,88.9,26.84,298096,240.36
City_235,85.6,26.16,925265,190.55
City_236,82.4,28.26,975745,47.68
City_237,84.74,28.91,718470,277.45
City_238,85.03,28.58,518534,244.85
City_239,81.81,26.96,21741,448.01
City_240,84.99,26.76,950961,334.72
City_241,86.33,27.02,534994,64.84
City_242,84.39,26.85,187826,306.53
City_243,88.02,29.04,485680,201.68
City_244,85.74,29.42,589254,453.25
City_245,88.68,27.15,774113,201.96
City_246,84.66,26.09,542965,117.55
City_247,86.16,29.36,628284,61.47
City_248,86.19,28.96,633721,436.71
City_249,86.71,27.05,614907,235.6
City_250,85.19,27.58,820383,401.36
City_251,86.62,27.37,592357,447.11
City_252,80.42,27.56,736977,347.26
City_253,82.89,28.39,810304,494.48
City_254,84.17,29.21,376239,191.13
City_255,83.72,26.12,695275,81.08
City_256,85.16,28.17,921738,349.02
City_257,85.87,26.88,830181,419.32
City_258,83.95,27.39,933293,279.73
City_259,86.92,29.21,122695,314.88
City_260,86.98,28.37,40761,1.29
City_261,83.04,27.56,503186,482.75
City_262,85.28,28.23,478656,296.62
City_263,86.59,27.41,740235,160.39
City_264,87.5,27.08,494479,310.62
City_265,87.59,26.06,326327,379.99
City_266,85.32,28.6,531225,328.1
City_267,82.15,26.42,457291,458.94
City_268,86.55,29.61,119668,471.31
City_269,81.3,29.67,305854,28.1
City_270,84.61,27.56,556492,221.39
City_271,83.13,27.44,818236,85.39
City_272,82.91,29.72,649726,494.22
City_273,85.54,29.75,821248,472.18
City_274,84.01,26.67,788693,314.87
City_275,80.43,29.75,438081,495.13
City_276,85.87,28.42,579284,261.42
City_277,86.86,27.52,41273,32.46
City_278,83.4,29.54,988945,51.42
City_279,80.17,26.86,357050,260.0
City_280,80.03,29.72,629757,424.66
City_281,88.38,29.31,569990,276.72
City_282,81.74,28.24,984366,355.42
City_283,88.15,28.41,133954,128.86
City_284,87.05,26.37,678040,176.62
City_285,88.1,29.22,690516,286.69
City_286,84.21,26.03,673791,324.81
City_287,83.71,28.17,642635,120.45
City_288,80.16,28.09,47415,97.92
City_289,82.27,26.73,525206,440.11
City_290,84.53,29.26,200446,489.1
City_291,87.1,26.57,220387,105.15
City_292,80.3,28.07,113168,450.77
City_293,80.23,26.18,221918,461.53
City_294,80.55,29.56,359001,75.27
City_295,87.81,29.66,471279,491.93
City_296,81.98,28.84,82815,295.28
City_297,85.25,27.26,196138,172.67
City_298,86.18,26.57,93462,488.96
City_299,84.39,29.7,976441,12.92
City_300,88.84,28.25,433881,256.54
City_301,85.31,29.65,738218,74.49
City_302,85.92,26.14,362839,74.05
City_303,80.47,27.64,367416,468.44
City_304,87.49,29.64,965736,250.98
City_305,86.83,28.84,248894,300.53
City_306,85.06,28.88,92277,458.02
City_307,80.47,26.48,125521,8.38
City_308,82.37,26.27,650773,215.03
City_309,82.72,29.8,538530,382.38
City_310,80.72,27.98,763072,191.37
City_311,80.47,28.96,552422,343.56
City_312,86.56,29.8,612318,314.76
City_313,81.98,28.25,93950,252.07
City_314,85.68,26.5,798547,74.69
City_315,86.98,28.53,809668,93.11
City_316,84.21,29.08,880336,226.91
City_317,82.63,29.87,623062,318.28
City_318,88.43,28.67,923596,343.67
City_319,85.31,29.77,965777,50.42
City_320,86.3,28.5,675261,285.99
City_321,82.2,28.12,802258,246.05
City_322,88.59,26.06,911160,75.54
City_323,86.46,29.37,33467,445.12
City_324,85.45,27.49,879881,101.43
City_325,84.36,29.43,229930,137.89
City_326,85.02,27.78,781528,205.03
City_327,86.8,26.95,466286,101.23
City_328,80.86,29.87,336065,313.61
City_329,85.97,29.2,288732,364.33
City_330,87.23,27.45,261260,498.99
City_331,83.1,28.04,767246,147.91
City_332,86.85,28.77,105030,214.3
City_333,82.0,29.5,446321,51.24
City_334,83.93,26.05,57582,69.14
City_335,85.43,28.26,709861,25.24
City_336,84.44,27.59,975148,151.13
City_337,88.29,28.74,411476,50.79
City_338,82.94,29.15,851801,141.81
City_339,87.65,26.46,786211,369.5
City_340,82.86,27.2,92113,29.24
City_341,80.29,28.83,534923,61.27
City_342,80.1,28.09,78717,219.91
City_343,88.45,29.24,460139,4.34
City_344,81.14,29.18,761228,440.35
City_345,85.94,29.32,759215,482.58
City_346,86.09,29.36,535353,437.0
City_347,84.46,27.36,778592,422.75
City_348,81.83,29.66,55194,95.46
City_349,85.22,28.92,292755,335.22
City_350,84.43,26.11,507410,243.86
City_351,88.07,27.36,139974,485.34
City_352,81.45,26.7,761152,408.79
City_353,86.67,27.7,220124,366.47
City_354,80.63,29.72,278319,439.32
City_355,84.69,27.8,121479,50.36
City_356,81.87,27.34,306290,282.21
City_357,88.72,27.08,917918,194.46
City_358,81.77,27.91,547172,305.27
City_359,84.02,26.25,188346,413.35
City_360,80.45,29.27,216043,284.74
City_361,82.07,27.3,568721,222.58
City_362,80.44,28.03,347228,199.06
City_363,83.52,28.81,946374,183.3
City_364,88.48,29.21,681378,399.18
City_365,85.69,28.34,313825,487.23
City_366,82.6,29.61,921086,11.55
City_367,84.5,29.44,707564,93.84
City_368,83.3,27.82,110300,382.25
City_369,83.21,28.17,240155,18.3
City_370,86.07,27.26,443495,259.54
City_371,81.46,27.34,256768,152.24
City_372,80.87,26.3,361668,3.99
City_373,83.07,28.71,574834,114.87
City_374,87.96,27.12,330805,100.55
City_375,84.63,29.41,226007,39.99
City_376,87.43,26.85,578712,226.99
City_377,86.38,29.11,872921,345.1
City_378,88.02,27.39,321921,89.34
City_379,85.64,29.87,387209,151.84
City_380,81.23,28.94,561470,449.07
City_381,88.17,26.43,724411,249.61
City_382,84.12,28.82,388008,224.39
City_383,82.8,28.53,431054,202.96
City_384,81.72,28.76,615822,3.15
City_385,81.24,27.79,510793,402.02
City_386,85.75,29.78,598162,343.58
City_387,84.91,28.48,622800,189.62
City_388,86.32,26.88,159191,4.3
City_389,83.17,28.8,142790,225.64
City_390,87.1,29.3,330851,459.08
City_391,84.34,27.97,495849,292.09
City_392,81.92,26.13,419223,171.44
City_393,88.44,29.12,554225,185.18
City_394,82.0,27.64,883469,326.09
City_395,86.69,27.0,95596,37.97
City_396,86.54,26.36,609100,111.62
City_397,86.0,29.06,426872,6.12
City_398,88.87,27.64,77938,399.64
City_399,88.94,29.83,302239,233.3
City_400,88.39,28.86,538163,267.95
City_401,83.25,29.32,62462,432.41
City_402,84.58,27.02,524254,383.32
City_403,80.53,27.27,144052,5.83
City_404,84.09,27.27,461867,414.41
City_405,88.96,26.33,446508,295.45
City_406,86.44,27.79,669108,289.66
City_407,86.68,26.86,382582,74.38
City_408,82.9,27.22,59788,278.96
City_409,83.5,26.73,643592,10.05
City_410,86.21,29.56,156783,460.12
City_411,85.77,29.87,156149,17.79
City_412,82.68,29.08,341731,401.85
City_413,86.34,29.71,484323,121.56
City_414,83.37,27.28,628466,274.83
City_415,86.51,27.08,364873,39.3
City_416,83.6,26.19,923058,310.81
City_417,87.85,26.53,450057,13.18
City_418,88.32,28.53,202011,313.86
City_419,85.47,27.3,110628,466.72
City_420,87.62,27.86,804699,114.8
City_421,81.46,29.4,33908,19.33
City_422,87.6,29.81,115605,354.31
City_423,82.29,27.34,159198,40.51
City_424,88.61,27.86,167718,36.95
City_425,80.21,27.46,926469,308.49
City_426,88.91,29.94,93292,57.76
City_427,88.32,26.03,496826,125.34
City_428,81.14,28.9,373148,114.64
City_429,88.59,27.44,233836,346.66
City_430,86.04,27.36,748458,186.66
City_431,85.74,28.26,411537,258.17
City_432,84.15,29.54,607097,446.77
City_433,80.56,28.31,943041,303.65
City_434,83.29,26.73,695031,61.58
City_435,84.71,27.66,892130,300.51
City_436,85.81,26.73,457995,447.86
City_437,87.81,29.28,60209,266.37
City_438,81.1,28.69,502331,486.07
City_439,80.38,29.06,948637,453.41
City_440,84.54,29.84,106909,454.61
City_441,86.14,26.82,673360,399.96
City_442,85.13,28.61,847510,215.33
City_443,88.15,28.45,564709,293.22
City_444,81.27,26.92,829877,252.58
City_445,82.42,29.06,214505,437.41
City_446,86.77,29.44,339991,402.65
City_447,88.61,29.23,205678,356.13
City_448,86.71,28.91,266409,183.3
City_449,81.25,29.78,792037,330.84
City_450,87.63,28.34,882572,344.25
City_451,82.26,26.53,327940,180.54
City_452,83.8,28.36,924771,103.07
City_453,86.85,26.02,980824,260.41
City_454,88.0,29.56,768459,255.99
City_455,83.49,28.42,120236,374.49
City_456,87.45,27.26,554845,438.61
City_457,80.23,26.11,469119,334.22
City_458,84.08,28.31,408075,51.12
City_459,85.24,28.36,549848,418.95
City_460,80.59,28.37,292831,353.99
City_461,84.31,26.04,399106,254.48
City_462,81.11,27.16,990210,242.9
City_463,80.39,28.98,34329,305.51
City_464,80.07,28.64,223074,432.36
City_465,85.22,27.97,700568,82.26
City_466,82.03,27.38,829982,194.81
City_467,81.55,29.77,514967,131.43
City_468,87.38,27.46,507197,9.65
City_469,87.52,29.62,234610,133.93
City_470,84.72,27.29,760167,285.49
City_471,86.86,29.64,424987,238.89
City_472,82.62,27.67,509031,292.08
City_473,81.38,28.48,577355,307.01
City_474,88.57,28.78,63178,219.71
City_475,82.92,28.84,931139,430.91
City_476,83.91,26.05,917500,65.79
City_477,85.63,28.09,617541,183.81
City_478,86.85,28.29,583549,330.49
City_479,85.52,29.65,573151,355.9
City_480,88.13,28.82,224205,102.43
City_481,82.7,27.36,62568,315.06
City_482,80.28,26.05,640725,43.21
City_483,81.04,28.74,30043,287.67
City_484,86.74,29.66,626644,201.81
City_485,81.3,29.21,809312,475.57
City_486,82.94,27.43,744968,248.52
City_487,86.85,29.42,55509,127.58
City_488,88.72,26.77,530575,24.66
City_489,86.31,29.29,135835,116.39
City_490,80.65,27.98,563014,376.34
City_491,80.28,27.78,518372,348.39
City_492,80.69,26.98,301556,457.72
City_493,84.71,26.05,469483,316.23
City_494,87.85,26.15,740364,113.13
City_495,87.26,28.75,591775,458.99
City_496,87.48,28.45,370373,297.86
City_497,83.39,28.08,66931,399.0
City_498,84.99,29.38,884647,221.31
City_499,88.6,29.71,335265,134.22
City_500,88.47,26.47,72557,28.15
City_501,80.62,28.0,286881,256.24
City_502,84.95,29.14,379624,176.31
City_503,81.82,29.91,976642,426.18
City_504,86.89,29.42,28094,195.71
City_505,86.1,27.88,933293,9.8
City_506,86.51,27.05,282330,406.16
City_507,88.24,27.46,700839,242.86
City_508,82.77,28.01,525571,208.58
City_509,82.51,26.52,717571,418.88
City_510,84.94,27.55,148445,132.55
City_511,80.6,26.81,529760,355.06
City_512,85.52,28.18,445246,437.94
City_513,81.03,29.21,797286,303.84
City_514,83.48,27.88,197990,364.45
City_515,87.82,26.93,263998,383.95
City_516,88.95,28.14,858329,113.13
City_517,80.38,27.35,797478,89.32
City_518,81.18,28.46,323486,139.89
City_519,88.91,26.44,137322,240.99
City_520,88.79,27.47,172299,206.43
City_521,86.19,29.66,74272,473.49
City_522,82.45,26.84,10948,343.27
City_523,84.29,27.6,687707,106.7
City_524,84.48,26.51,504307,124.11
City_525,80.14,28.06,792451,464.2
City_526,82.39,27.06,564351,169.18
City_527,84.59,26.28,779492,215.01
City_528,87.6,26.26,690337,224.92
City_529,85.77,29.59,686637,273.02
City_530,88.08,29.54,181596,190.25
City_531,85.9,27.08,145343,412.14
City_532,80.34,26.09,517895,5.88
City_533,82.24,26.26,751052,215.38
City_534,86.63,27.11,220485,408.22
City_535,85.06,28.15,661005,73.46
City_536,83.78,28.29,863288,436.81
City_537,80.6,29.5,192782,324.56
City_538,84.31,26.65,579739,205.55
City_539,83.49,27.79,652887,112.6
City_540,85.82,28.3,394850,271.02
City_541,80.34,28.79,706511,468.53
City_542,85.76,27.89,737035,29.74
City_543,80.85,28.81,26391,45.64
City_544,81.22,29.95,394089,247.5
City_545,88.26,29.55,429554,404.81
City_546,85.82,28.52,643691,207.32
City_547,82.83,28.94,715431,271.17
City_548,84.01,27.61,608738,209.21
City_549,82.72,29.61,894156,238.27
City_550,88.13,26.63,374247,340.88
City_551,83.0,27.75,926313,284.37
City_552,82.13,27.04,793548,426.56
City_553,82.16,27.37,864064,29.28
City_554,83.59,26.94,278609,170.12
City_555,82.87,29.68,33837,169.1
City_556,86.94,26.21,464303,166.51
City_557,82.85,29.46,959238,362.88
City_558,83.16,26.61,589247,10.5
City_559,85.92,26.28,972953,20.87
City_560,84.02,28.12,358809,469.06
City_561,82.68,29.18,281566,58.81
City_562,82.48,26.42,941272,399.78
City_563,80.51,29.76,129846,72.33
City_564,87.87,29.6,193546,444.11
City_565,88.97,26.51,809951,324.56
City_566,84.49,28.67,735308,17.95
City_567,80.62,29.47,417172,416.4
City_568,88.7,27.54,736607,81.54
City_569,85.99,26.15,503448,72.0
City_570,81.82,27.56,998640,327.26
City_571,84.67,27.43,268840,253.31
City_572,83.97,29.43,338465,274.99
City_573,84.97,26.04,596754,339.94
City_574,88.74,27.01,139450,489.66
City_575,80.05,27.43,873342,356.89
City_576,80.77,27.9,231057,179.88
City_577,87.05,26.77,559476,386.46
City_578,87.7,29.85,93420,33.81
City_579,87.56,28.94,218259,58.33
City_580,82.71,29.16,820338,308.37
City_581,81.72,26.17,649568,347.41
City_582,87.29,26.92,508874,95.28
City_583,87.55,27.79,645410,86.81
City_584,84.35,29.33,908674,76.41
City_585,81.44,29.74,582521,354.65
City_586,86.47,29.07,296650,71.94
City_587,81.03,29.68,99220,215.34
City_588,82.07,26.0,326381,242.61
City_589,82.64,27.48,30592,402.13
City_590,85.98,26.66,227135,185.84
City_591,83.31,27.22,41870,151.83
City_592,82.41,27.19,824333,146.01
City_593,82.46,28.6,59030,362.3
City_594,86.24,29.35,915373,137.84
City_595,86.75,28.12,173313,441.05
City_596,87.02,29.75,570019,420.62
City_597,82.47,27.58,179227,74.31
City_598,82.01,26.56,834102,327.83
City_599,84.98,27.6,750434,254.96
City_600,80.98,28.1,767253,297.41
City_601,84.97,28.15,224898,176.59
City_602,83.17,28.34,525556,220.51
City_603,82.09,27.7,450148,355.03
City_604,85.99,29.32,870686,178.96
City_605,85.51,26.21,561625,273.23
City_606,86.76,29.98,892972,365.38
City_607,84.62,27.1,52359,477.45
City_608,82.27,26.74,59574,445.76
City_609,81.47,27.77,797910,390.29
City_610,87.8,27.02,374943,402.04
City_611,88.89,28.91,637797,220.58
City_612,84.6,26.23,996264,289.6
City_613,81.48,27.49,535454,287.25
City_614,87.38,27.43,969466,236.58
City_615,85.46,27.27,316477,64.92
City_616,86.12,28.49,788231,310.64
City_617,81.09,29.57,94510,311.24
City_618,86.32,26.5,154873,333.78
City_619,82.9,28.78,348819,383.69
City_620,80.54,28.29,410479,443.5
City_621,88.37,27.9,688473,445.9
City_622,86.77,28.93,371954,256.57
City_623,88.37,26.05,814322,213.62
City_624,80.83,29.28,679994,147.45
City_625,84.47,27.07,655412,445.42
City_626,82.06,29.63,38713,75.44
City_627,86.03,28.65,87421,384.82
City_628,82.69,26.99,978232,391.09
City_629,88.31,27.76,339810,44.18
City_630,86.7,27.97,172645,328.84
City_631,88.99,28.77,239516,55.78
City_632,87.14,26.71,914622,453.46
City_633,86.7,27.54,565402,281.42
City_634,85.9,29.29,602760,123.85
City_635,86.1,26.22,292890,358.75
City_636,84.22,26.18,287999,330.78
City_637,80.61,28.69,158438,351.78
City_638,86.08,27.69,469048,120.87
City_639,85.56,29.19,253723,125.72
City_640,87.15,27.36,396598,104.4
City_641,84.48,27.22,813901,185.65
City_642,81.35,26.55,305775,43.72
City_643,82.5,27.9,927946,96.64
City_644,85.34,29.4,693222,57.32
City_645,83.53,29.52,918556,219.62
City_646,80.15,27.93,462852,234.25
City_647,84.39,26.05,735394,22.57
City_648,85.47,27.42,561336,54.37
City_649,86.1,28.6,588436,124.1
City_650,88.14,29.56,308060,141.03
City_651,86.21,27.42,819750,323.32
City_652,86.58,28.59,346517,485.66
City_653,88.15,26.72,92239,139.28
City_654,85.98,28.95,158656,375.15
City_655,88.48,29.24,262077,318.31
City_656,86.93,28.66,219226,34.58
City_657,81.53,28.82,820516,441.45
City_658,88.51,27.53,176424,90.44
City_659,83.99,28.67,282390,443.15
City_660,84.42,29.47,921432,405.48
City_661,87.27,29.7,662972,336.23
City_662,87.1,27.85,999402,32.35
City_663,88.09,26.43,79141,52.24
City_664,88.5,28.99,755615,107.29
City_665,85.83,29.05,331197,438.99
City_666,84.93,29.72,323256,254.94
City_667,81.66,27.93,261306,353.6
City_668,81.55,27.5,901880,9.32
City_669,88.08,29.15,815906,20.23
City_670,88.04,28.24,143008,492.37
City_671,82.91,27.22,766376,297.19
City_672,86.87,26.33,913795,364.84
City_673,83.52,26.73,271189,199.62
City_674,80.66,27.09,555350,109.78
City_675,83.83,27.68,348066,463.74
City_676,86.0,26.13,825221,12.49
City_677,87.29,29.93,618269,61.31
City_678,85.82,28.47,19425,156.34
City_679,87.55,29.2,758816,499.15
City_680,83.45,26.27,42765,472.24
City_681,88.58,28.33,466805,339.5
City_682,86.92,27.72,989317,156.61
City_683,87.93,28.71,442135,265.71
City_684,88.09,28.68,800717,442.55
City_685,88.59,28.87,849760,42.11
City_686,85.13,28.68,576334,81.42
City_687,83.28,26.7,482430,190.3
City_688,81.93,26.35,259760,463.64
City_689,87.92,28.75,266264,209.45
City_690,85.22,26.47,907446,295.77
City_691,81.96,27.48,981573,17.99
City_692,84.24,28.47,244916,497.43
City_693,85.18,28.47,477924,222.67
City_694,80.4,26.71,252277,73.53
City_695,81.52,28.16,706788,332.56
City_696,84.84,28.89,187936,166.34
City_697,81.29,28.84,445432,344.61
City_698,88.87,26.66,590889,151.85
City_699,82.07,27.19,955203,425.43
City_700,86.25,28.52,149570,445.01
City_701,84.79,26.75,75967,145.14
City_702,86.79,28.2,360156,230.51
City_703,86.95,27.67,241803,37.68
City_704,86.03,26.38,84146,399.87
City_705,81.34,29.68,489166,464.46
City_706,86.89,29.67,948282,33.1
City_707,87.68,26.62,296578,392.51
City_708,87.69,28.24,812462,163.15
City_709,81.77,26.91,378170,150.71
City_710,88.63,29.43,390673,104.2
City_711,85.98,28.93,834354,41.89
City_712,85.3,26.89,946249,32.02
City_713,80.95,27.63,638300,360.62
City_714,84.91,27.86,767741,200.62
City_715,88.32,29.03,903220,78.37
City_716,82.9,28.78,880269,323.55
City_717,85.15,27.75,632137,57.14
City_718,82.05,26.64,477617,319.77
City_719,83.13,27.15,214766,311.74
City_720,87.49,27.15,16687,62.94
City_721,82.87,26.24,682267,174.19
City_722,86.69,28.4,838083,420.73
City_723,86.68,29.08,383991,193.14
City_724,81.99,27.24,399665,495.55
City_725,85.3,28.85,30401,298.3
City_726,86.2,27.72,94278,184.03
City_727,84.68,27.24,767195,47.82
City_728,80.11,26.03,363752,176.62
City_729,84.1,28.09,34949,296.05
City_730,82.76,28.82,698831,114.55
City_731,81.39,28.16,90164,28.45
City_732,87.71,29.63,895067,436.74
City_733,83.85,26.5,816138,275.49
City_734,85.07,28.24,944151,480.5
